timestamp,speed_kmh,outside_temp_c,cabin_temp_c,battery_level_percent,label
2025-12-31T16:46:09.428540,40.0,34.8,34.9,87.6,1
2025-12-31T16:46:10.467161,50.0,25.0,35.0,87.5,1
2025-12-31T16:46:11.471604,60.0,25.2,34.8,87.4,1
2025-12-31T16:46:12.475163,70.0,25.4,34.6,87.3,1
2025-12-31T16:46:13.478743,80.0,25.6,34.4,87.2,1
2025-12-31T16:46:14.481239,85.0,25.7,34.3,87.15,1
2025-12-31T16:46:15.483660,95.0,25.9,34.1,87.05,1
2025-12-31T16:46:16.486748,105.0,26.1,33.9,86.95,1
2025-12-31T16:46:17.489948,115.0,26.3,33.7,86.85,1
2025-12-31T16:46:18.492558,115.0,26.5,33.5,86.75,1
2025-12-31T16:46:19.497069,105.0,26.7,33.3,86.65,1
2025-12-31T16:46:20.499415,95.0,26.9,33.1,86.55,1
2025-12-31T16:46:21.501885,85.0,27.1,32.9,86.45,1
2025-12-31T16:46:22.506068,75.0,27.3,32.7,86.35,1
2025-12-31T16:46:23.508568,65.0,27.5,32.5,86.25,1
2025-12-31T16:46:24.517642,55.0,27.7,32.3,86.15,1
2025-12-31T16:46:25.520653,45.0,27.9,32.1,86.05,1
2025-12-31T16:46:26.522835,35.0,28.1,31.9,85.95,1
2025-12-31T16:46:27.531870,25.0,28.3,31.7,85.85,1
2025-12-31T16:46:28.533885,25.0,28.5,31.5,85.75,1
2025-12-31T16:46:29.535079,35.0,28.7,31.3,85.65,1
2025-12-31T16:46:30.538415,45.0,28.9,31.1,85.55,1
2025-12-31T16:46:31.541852,55.0,29.1,30.9,85.45,1
2025-12-31T16:46:32.544515,65.0,29.3,30.7,85.35,1
2025-12-31T16:46:33.547524,75.0,29.5,30.5,85.25,1
2025-12-31T16:46:34.549525,85.0,29.7,30.3,85.15,1
2025-12-31T16:46:35.552190,95.0,29.9,30.1,85.05,1
2025-12-31T16:46:36.556779,105.0,30.1,30.2,84.95,1
2025-12-31T16:46:37.557944,115.0,30.3,30.3,84.85,1
2025-12-31T16:46:38.560011,115.0,30.5,30.7,84.75,1
2025-12-31T16:46:39.562569,105.0,30.7,30.8,84.65,1
2025-12-31T16:46:40.576292,95.0,30.9,30.9,84.55,1
2025-12-31T16:46:41.583955,85.0,31.1,31.3,84.45,1
2025-12-31T16:46:42.587360,80.0,31.2,31.2,84.4,1
2025-12-31T16:46:43.590494,70.0,31.4,31.6,84.3,1
2025-12-31T16:46:44.597080,60.0,31.6,31.7,84.2,1
2025-12-31T16:46:45.599573,50.0,31.8,31.8,84.1,1
2025-12-31T16:46:46.602464,40.0,32.0,32.2,84.0,1
2025-12-31T16:46:47.605681,30.0,32.2,32.3,83.9,1
2025-12-31T16:46:48.607025,20.0,32.4,32.4,83.8,1
2025-12-31T16:46:49.609449,30.0,32.6,32.8,83.7,1
2025-12-31T16:46:50.615580,40.0,32.8,32.9,83.6,1
2025-12-31T16:46:51.617264,50.0,33.0,33.0,83.5,1
2025-12-31T16:46:52.619440,60.0,33.2,33.4,83.4,1
2025-12-31T16:46:53.623367,70.0,33.4,33.5,83.3,1
2025-12-31T16:46:54.632802,80.0,33.6,33.6,83.2,1
2025-12-31T16:46:55.636608,90.0,33.8,34.0,83.1,1
2025-12-31T16:46:56.643785,100.0,34.0,34.1,83.0,1
2025-12-31T16:46:57.647101,110.0,34.2,34.2,82.9,1
2025-12-31T16:46:58.648227,120.0,34.4,34.6,82.8,1
2025-12-31T16:46:59.650758,110.0,34.6,34.7,82.7,1
